# x y ~u(x,y)
0 0 0
0.1 0 9.32587e-17
0.3 0 -1.11369e-15
0.5 0 5.2125e-16
0.7 0 4.39648e-16
0.9 0 6.6247e-15
1 0 0

0 0.1 0
0.1 0.1 0.00973456
0.3 0.1 0.0283156
0.5 0.1 0.0436088
0.7 0.1 0.0541451
0.9 0.1 0.0593919
1 0.1 0.0603506

0 0.3 1.38778e-16
0.1 0.3 0.0283156
0.3 0.3 0.0823617
0.5 0.3 0.126834
0.7 0.3 0.157407
0.9 0.3 0.172223
1 0.3 0.173953

0 0.5 -4.38538e-15
0.1 0.5 0.0436088
0.3 0.5 0.126834
0.5 0.5 0.195305
0.7 0.5 0.24236
0.9 0.5 0.265077
1 0.5 0.267631

0 0.7 5.59462e-15
0.1 0.7 0.0541451
0.3 0.7 0.157407
0.5 0.7 0.24236
0.7 0.7 0.300786
0.9 0.7 0.329072
1 0.7 0.332314

0 0.9 2.45614e-16
0.1 0.9 0.0593919
0.3 0.9 0.172223
0.5 0.9 0.265077
0.7 0.9 0.329072
0.9 0.9 0.360307
1 0.9 0.364088

0 1 0
0.1 1 0.0603506
0.3 1 0.173953
0.5 1 0.267631
0.7 1 0.332314
0.9 1 0.364088
1 1 0.367879

