# x y v(x,y)
# Horizontal component:
0 0.1 0.01 0
0.2 0.1 0.21 0
0.4 0.1 0.41 0
0.6 0.1 0.61 0
0.8 0.1 0.81 0
1 0.1 1.01 0
0 0.3 0.01 0
0.2 0.3 0.21 0
0.4 0.3 0.41 0
0.6 0.3 0.61 0
0.8 0.3 0.81 0
1 0.3 1.01 0
0 0.5 0.01 0
0.2 0.5 0.21 0
0.4 0.5 0.41 0
0.6 0.5 0.61 0
0.8 0.5 0.81 0
1 0.5 1.01 0
0 0.7 0.01 0
0.2 0.7 0.21 0
0.4 0.7 0.41 0
0.6 0.7 0.61 0
0.8 0.7 0.81 0
1 0.7 1.01 0
0 0.9 0.01 0
0.2 0.9 0.21 0
0.4 0.9 0.41 0
0.6 0.9 0.61 0
0.8 0.9 0.81 0
1 0.9 1.01 0
# Vertical component:
0.1 0 0 1.01
0.3 0 0 0.01
0.5 0 0 0.01
0.7 0 0 0.01
0.9 0 0 0.01
0.1 0.2 0 0.01
0.3 0.2 0 0.21
0.5 0.2 0 0.21
0.7 0.2 0 0.21
0.9 0.2 0 0.21
0.1 0.4 0 0.21
0.3 0.4 0 0.41
0.5 0.4 0 0.41
0.7 0.4 0 0.41
0.9 0.4 0 0.41
0.1 0.6 0 0.41
0.3 0.6 0 0.61
0.5 0.6 0 0.61
0.7 0.6 0 0.61
0.9 0.6 0 0.61
0.1 0.8 0 0.61
0.3 0.8 0 0.81
0.5 0.8 0 0.81
0.7 0.8 0 0.81
0.9 0.8 0 0.81
0.1 1 0 0.81
0.3 1 0 1.01
0.5 1 0 1.01
0.7 1 0 1.01
0.9 1 0 1.01
